date_of_sale,address,postal_code,cities,price,description
2021-01-05,"ARDOUGHAN, BALLINA, CO MAYO",Unknown,Mayo,250000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"BALLINTAGGERT, VIA CALLAN, CO KILKENNY",Unknown,Kilkenny,70000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"BALLYCORMACK, MUINE BHEAG, CO. CARLOW",Unknown,Carlow,140000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"CAHERPUCA BALLYGLUNIN, TUAM, GALWAY",Unknown,Galway,250000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"CASTLEFREKE COTTAGE, LONG STRAND, CLONAKILTY",Unknown,Cork,222500.0,Second-Hand Dwelling house /Apartment
2021-01-05,"CAVAN UPPER, KILLYGORDON, DONEGAL",Unknown,Donegal,230000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"COILLARD, CAPPADUFF, TOURMAKEADY",Unknown,Mayo,82000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"CREGG, OUGHTERARD, CO GALWAY",Unknown,Galway,140000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"CROSSREAGH, BALLYHAISE, CAVAN",Unknown,Cavan,232500.0,Second-Hand Dwelling house /Apartment
2021-01-05,"CURRAKILLANE, GLENGARRIFF, CO CORK",Unknown,Cork,100000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"DERNACONG, BALLYHAUNIS, CO MAYO",Unknown,Mayo,120000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"DROMAHOE, DROMAGH, MALLOW",Unknown,Cork,70000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"DRUMDERRY COTTAGE, DRUMDERRY, BUNCLODY",Unknown,Wexford,200000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"HAWTHORN LODGE, FAUGHTS LANE, CO SLIGO",Unknown,Sligo,415000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"JOCSVILLE, 3 HARTLANDS AVE, GLASHEEN RD",Unknown,Cork,236000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"KILAHARD, BLACKWATER, ENNISCORTHY",Unknown,Wexford,300000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"LISAVALLEY, TUAM, GALWAY",Unknown,Galway,230000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"MARLINSTOWN, MULLINGAR, WESTMEATH",Unknown,Westmeath,420000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"MUING WEST, UPPER OAKPARK, TRALEE",Unknown,Kerry,140000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"REENARD SOUTH, CAHERCIVEEN, KERRY",Unknown,Kerry,135000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"THE GLEN, KINSALE, CORK",Unknown,Cork,300000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"1 SCARTEEN ST, NEWMARKET, CORK",Unknown,Cork,70000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"111 EXCHANGE HALL, BELGARD SQ NORTH, TALLAGHT DUBLIN 24",Dublin 24,Dublin,171000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"113 ARDLEA RD, ARTANE, DUBLIN 5",Dublin 5,Dublin,340000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"122 LYMEWOOD MEWS, NORTHWOOD, SANTRY DUBLIN 9",Dublin 9,Dublin,265000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"13 The View, Oldbridge Manor, Drogheda",Unknown,Meath,246696.0,New Dwelling house /Apartment
2021-01-06,"13 WILLOW WOOD, BALLISODARE, SLIGO",Unknown,Sligo,165000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"135 PRIORGATE, TALLAGHT DUBLIN 24, DUBLIN",Dublin 24,Dublin,230000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"14 Gandon Place, Gandon Park, Lucan",Unknown,Dublin,383259.0,New Dwelling house /Apartment
2021-01-06,"14 The Avenue, Ros Mor, Kilmallock Road",Unknown,Limerick,242290.74,New Dwelling house /Apartment
2021-01-06,"163 AYLMER PARK, NAAS, CO KILDARE",Unknown,Kildare,277000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"17 MILLRACE GREEN, SAGGART, DUBLIN",Dublin 24,Dublin,210000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"17 THE CLIOSTERS, ABBEYDORNEY, TRALEE",Unknown,Kerry,138000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"17 THE WAY, LEDWILL PARK, KILCOCK",Unknown,Kildare,273127.75,New Dwelling house /Apartment
2021-01-06,"18 ARDMORE CRESCENT, ARTANE, DUBLIN 5",Dublin 5,Dublin,380600.0,Second-Hand Dwelling house /Apartment
2021-01-06,"18 Brookfield, Malahide",Unknown,Dublin,682819.38,New Dwelling house /Apartment
2021-01-06,"2 BARRACK HILL, BELTURBET, CO CAVAN",Unknown,Cavan,79000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"2 CASTLEVIEW, CROSFARNOGUE, KILMORE QUAY",Unknown,Wexford,151000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"2 KINGSWOOD VIEW, BELGARD RD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,290000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"2 MILEHOUSE MEWS, ENNISCORTHY, WEXFORD",Unknown,Wexford,65000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"2 Poddle View, Poddle Park, Kimmage",Unknown,Dublin,440528.0,New Dwelling house /Apartment
2021-01-06,"21 Cluain Bui, Quinagh, CARLOW",Unknown,Carlow,181650.0,New Dwelling house /Apartment
2021-01-06,"23 BRACKEN LEA, LETTERKENNY, DONEGAL",Unknown,Donegal,252000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"24 MAPLE DR, DROGHEDA, LOUTH",Unknown,Louth,225000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"25 THE CRESCENT, GREENVALLEY, CORK",Unknown,Cork,278000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"27 CASTLEFIELD, STONEBRIDGE, DROMAHAIR",Unknown,Leitrim,147000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"29 Bothar Na Mias, Kinvara",Unknown,Galway,308370.0,New Dwelling house /Apartment
2021-01-06,"29 TEMPLE VIEW GRV, CLAREHALL, DUBLIN 13",Dublin 13,Dublin,350000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"3 Doire Fea, Kilrainey, Moycullen",Unknown,Galway,303900.0,New Dwelling house /Apartment
2021-01-06,"3 TOWNPARKS, GLACK, LONGFORD",Unknown,Longford,157000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"32 SKELLIGS COURT, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,320000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"33 Sika Woods, Kilgarron, Enniskerry",Unknown,Wicklow,469860.0,New Dwelling house /Apartment
2021-01-06,"34 RIALTO ST, DUBLIN 8, DUBLIN",Dublin 8,Dublin,332000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"36 CRUAGH CLOSE, STEPASIDE, DUBLIN",Dublin 18,Dublin,460000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"38 FERNWOOD AVE, SPRINGFIRELD, TALLAGHT",Dublin 24,Dublin,300000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"39 RINGFOOT AVE, BALROTHERY, DUBLIN",Unknown,Dublin,206000.0,Second-Hand Dwelling house /Apartment
2021-01-06,"4 BROOKSIDE, DOUGHCLOYNE, CORK",Unknown,Cork,322000.0,Second-Hand Dwelling house /Apartment
